date,USD,EUR,RUB,KGS,GBP,CNY,GLD,CHF,HKD,GEL,AED,INR,CAD,MYR,PLN,THB,TRY,UZS,UAH,CZK,ILS,KRW,JPY
2022-08-06,478.0,487.0,7.4799999999999995,5.91,615.0,67.9,27000.0,495.0,54.0,180.0,123.0,4.8,345.0,98.0,113.0,15.0,39.0,4.4,16.7,18.7,125.0,37.5,3.1
2022-08-07,478.0,487.0,7.4,5.9,615.0,67.9,27000.0,495.0,54.0,180.0,123.0,4.8,345.0,98.0,113.0,15.0,39.0,4.4,16.7,18.7,125.0,37.5,3.1
2022-07-11,469.0,476.90384615384613,7.015384615384613,5.049999999999998,588.0,67.90000000000003,25688.46153846154,482.0,53.0,141.0,115.0,5.400000000000002,345.0,96.0,109.0,12.699999999999996,39.0,4.049999999999998,16.699999999999992,18.89999999999999,125.0,37.5,3.5999999999999988
2022-07-12,472.85,477.275,7.164999999999999,5.769999999999998,602.45,67.9,26000.0,482.0,53.0,141.0,115.0,5.400000000000002,345.0,96.0,109.0,12.699999999999996,39.0,4.049999999999999,16.699999999999996,18.899999999999995,125.0,37.5,3.6
2022-07-13,476.65384615384613,480.6923076923077,7.286538461538462,5.85,613.4615384615385,67.89999999999999,26000.0,482.0,53.0,141.0,115.0,5.4,345.0,96.0,109.0,12.7,39.0,4.049999999999999,16.699999999999996,18.900000000000002,125.0,37.5,3.600000000000001
2022-07-14,478.26666666666665,482.0,7.3599999999999985,5.849999999999999,615.0,67.89999999999999,26333.333333333332,482.0,53.0,141.0,115.0,5.400000000000001,345.0,96.0,109.0,12.699999999999998,39.0,4.049999999999999,16.699999999999996,18.9,125.0,37.5,3.600000000000001
2022-07-15,480.125,483.275,7.4037500000000005,5.875000000000002,615.0,67.9,26500.0,482.0,53.0,141.0,115.0,5.400000000000002,345.0,96.0,109.0,12.699999999999996,39.0,4.049999999999999,16.699999999999996,18.899999999999995,125.0,37.5,3.6
2022-07-16,481.6666666666667,486.6111111111111,7.522222222222222,5.888888888888889,615.0,67.89999999999999,26500.0,482.0,53.0,141.0,115.0,5.3999999999999995,345.0,96.0,109.0,12.700000000000001,39.0,4.283333333333333,16.7,18.900000000000002,125.0,37.5,3.322222222222223
2022-07-17,481.0,487.5,7.391666666666667,5.883333333333333,615.0,67.9,26500.0,482.0,53.0,141.0,115.0,5.400000000000001,345.0,96.0,109.0,12.699999999999998,39.0,4.4,16.7,18.9,125.0,37.5,3.1
2022-07-18,484.95,491.1,7.570833333333335,5.910000000000003,624.3333333333334,67.90000000000003,26500.0,482.0,53.0,141.0,120.6,5.400000000000003,345.0,96.0,109.0,12.699999999999994,39.0,4.400000000000002,16.699999999999992,18.899999999999988,125.0,37.5,3.099999999999999
2022-07-19,483.4596774193548,493.5967741935484,7.759677419354837,5.9499999999999975,625.0,67.90000000000003,26500.0,482.0,53.096774193548384,153.58064516129033,123.0,5.303225806451616,342.0967741935484,96.38709677419355,110.03225806451613,13.21935483870967,39.0,4.400000000000002,16.699999999999996,18.874193548387087,125.0,37.096774193548384,3.0999999999999988
2022-07-20,482.9259259259259,493.4537037037037,7.85555555555556,5.949999999999999,625.0,67.90000000000003,26500.0,482.0,54.0,180.0,123.74074074074075,4.799999999999999,335.0,98.0,113.0,15.0,39.0,4.400000000000002,16.699999999999992,18.699999999999992,125.0,36.5,3.0999999999999996
2022-07-21,483.2894736842105,494.3157894736842,7.807894736842108,5.994736842105263,625.0,67.9,26500.0,482.0,54.0,180.0,127.0,4.799999999999999,335.0,98.0,113.0,15.0,39.0,4.4,16.699999999999996,18.699999999999996,125.0,36.5,3.100000000000001
